X,Y,Z
586631.92,171883.0,193.45
594432.05,175982.72,256.33
514329.51,97785.06,378.96
553429.47,90884.25,180.28
514429.2,84484.99,423.62
441427.7,37486.04,390.02
401728.25,103687.46,729.14
466330.09,143686.86,985.79
402928.48,120187.92,660.18
386228.47,135288.53,864.57
497828.89,80585.31,234.52
562130.58,124784.06,479.72
528329.64,96684.79,260.77
580832.68,188883.26,305.8
525329.79,103384.82,573.09
497429.36,96885.51,568.93
580932.01,172683.18,201.66
527429.29,81484.8,151.66
524630.17,117985.06,529.11
433829.65,139487.72,541.05
431729.16,128287.55,1315.64
411027.77,73486.79,298.74
571531.49,156583.61,285.28
431028.95,112487.2,769.52
411427.96,87486.99,987.79
571331.0,139783.79,216.95
430028.54,93186.93,630.82
433127.88,53486.24,582.28
450727.84,38185.89,725.94
452929.75,132687.0,846.71
433328.1,67586.37,632.97
430628.18,78286.58,750.39
527730.21,118984.97,355.35
527929.84,105784.75,577.66
597131.16,147282.78,243.64
467428.35,63885.9,831.3
402427.71,81787.14,140.99
399028.44,118287.98,181.64
401728.05,95387.29,744.33
398628.19,102387.48,719.53
553929.36,86984.26,144.75
513530.18,123285.33,251.94
552130.44,126184.38,536.51
514529.84,106685.15,422.49
509629.0,80585.08,258.55
507130.01,117585.44,631.79
592732.14,178482.77,279.58
510129.42,94585.14,259.04
506529.67,102985.29,443.54
592831.64,164582.85,179.87
463329.97,140886.87,917.01
465828.25,56685.92,862.22
397928.47,123788.14,1130.59
397328.31,108887.74,257.59
447827.75,35985.92,734.22
542830.27,117484.64,260.22
517830.12,120585.28,383.71
578232.0,171583.29,203.76
523029.33,85084.86,175.33
480228.91,89785.85,540.63
543029.75,102584.48,540.67
522329.67,100184.9,421.56
576732.62,187083.39,313.11
519429.87,105884.96,433.3
481528.56,75185.62,582.89
471628.29,58485.9,865.12
405327.8,83787.11,113.97
412428.51,115487.57,557.04
406428.15,99587.31,986.28
437329.53,135387.54,512.09
413028.72,129387.94,1043.57
587431.66,163683.09,186.16
531630.54,130285.02,459.1
489129.37,103985.88,277.7
588332.27,180982.91,319.77
532430.06,114484.82,447.2
490229.9,119285.92,541.19
447027.97,45785.94,897.02
421528.39,99187.14,420.6
422028.07,82486.7,443.06
446728.21,59586.09,768.92
541329.22,79184.6,302.48
500830.18,127185.69,452.94
520128.95,73584.96,275.39
548629.89,106984.42,205.36
500729.86,112085.55,353.81
540229.52,93084.61,283.61
520429.39,88784.89,327.16
548830.34,121784.42,290.01
387327.4,78087.35,9.84
477128.33,67985.74,507.5
584430.86,137983.38,202.5
454829.76,130586.93,572.87
584431.3,152283.24,266.0
475428.15,54185.74,884.67
387627.75,93287.49,71.74
450728.1,47785.91,1145.97
591631.47,155982.95,175.71
428728.67,102587.05,637.14
426828.54,96386.98,842.48
393728.43,126088.29,727.58
457029.86,137486.95,938.03
428028.93,115887.37,866.73
427428.14,80586.63,852.51
590030.97,142483.12,213.28
450828.28,63786.07,836.51
392128.18,110687.95,540.48
493929.63,107585.77,552.3
596832.63,188382.67,269.33
545529.69,100684.45,239.8
504128.92,77585.19,217.07
598432.07,175182.54,213.24
495030.04,123585.73,460.54
546430.18,115584.53,204.97
504429.29,92185.24,274.71
418628.35,103487.28,716.43
579130.85,134483.64,288.0
418128.64,118487.6,619.93
441929.92,143987.49,1437.89
579831.23,148583.39,221.17
485429.17,97985.82,335.2
572731.96,167783.54,273.88
535929.14,75784.72,472.09
484828.86,85285.66,311.96
536529.47,89884.69,209.66
606231.85,172782.34,188.43
484329.87,122786.18,1316.19
537829.99,111784.63,413.01
534729.44,88384.72,175.95
486029.46,106985.93,473.13
536130.53,127484.88,432.7
534529.06,73384.77,822.95
417127.95,80786.77,92.8
419428.66,116487.52,1097.2
443228.25,64486.15,786.71
581731.19,147783.35,255.21
441727.93,47086.07,462.22
416928.23,96187.14,685.37
419228.35,102587.26,952.1
580630.77,132183.63,249.78
494528.92,82785.38,337.78
504729.91,113885.48,406.68
493729.37,99285.64,407.74
505130.27,129485.56,362.61
426428.96,121187.58,878.79
452429.97,144787.13,1855.05
457428.2,52685.9,985.78
391727.71,88487.4,67.61
425428.61,103787.14,695.26
392627.38,75487.22,54.32
457828.35,67485.96,681.23
408527.88,85887.05,300.36
596030.94,142582.86,205.1
409327.72,73386.83,284.99
387528.43,128288.39,324.44
475030.12,137586.57,1082.61
596131.47,157782.77,172.57
540830.17,114684.68,302.92
499729.14,89085.33,309.73
602031.92,171882.51,211.69
548029.32,82784.43,141.43
500728.82,76185.25,393.66
542430.6,128384.7,355.41
547929.67,99984.42,239.99
602232.61,187082.36,224.63
576031.32,151883.42,329.61
422728.86,121987.63,1471.46
446529.88,141387.29,1016.01
444328.15,57886.13,780.92
575730.94,138283.68,208.75
445327.85,42586.0,513.91
422328.58,108487.32,777.45
531329.55,93184.76,362.97
490028.86,82185.48,455.86
492829.86,116285.79,586.68
569031.86,164183.73,304.42
533129.24,79184.73,150.56
489029.18,95685.68,442.66
491429.4,102685.79,516.19
444228.68,91686.7,308.48
423527.63,50886.35,526.24
421029.4,146388.03,796.17
424727.8,66286.44,647.71
421428.98,130987.8,1051.33
444328.43,77286.36,536.91
531130.91,140784.96,661.25
532428.52,56684.87,147.01
492630.77,152486.34,1045.04
530031.57,156985.26,446.14
492530.27,139386.15,1260.5
376128.08,127088.56,580.36
409627.58,61486.63,352.94
475429.57,115586.35,450.8
456528.68,84586.36,909.73
475729.11,101686.17,481.7
456328.97,98186.52,293.24
408227.41,47186.58,278.84
557232.02,167384.18,318.28
550231.48,150984.52,271.59
549430.89,136484.58,245.35
482427.73,39685.52,681.63
565331.29,147683.96,328.78
496830.75,151086.24,944.68
503628.37,61185.38,650.86
566630.88,132084.03,283.84
497330.17,135185.83,466.04
380928.27,129388.53,1030.12
503328.18,44785.39,472.1
449228.72,90786.6,287.7
429227.78,53986.28,440.61
391428.46,143688.58,1387.29
459629.47,118686.7,359.87
429427.95,68786.42,561.81
410427.36,38986.48,224.7
555131.75,160884.29,246.34
448228.4,73986.23,623.63
460929.14,104886.53,306.54
487728.0,50885.67,712.69
485030.42,146086.51,1261.66
488328.44,67485.45,369.51
486130.11,133086.25,620.5
440828.99,109486.94,481.86
442228.55,88386.75,509.47
420829.53,152088.25,1650.84
419929.07,136988.03,1375.34
562332.0,165483.97,269.14
439729.31,124887.3,554.32
441128.34,72386.33,685.91
419727.8,68686.51,598.9
440728.35,73886.36,582.04
564831.86,162183.9,266.29
439128.56,90286.79,529.63
563032.38,176183.94,228.33
418727.61,52786.41,510.57
487130.14,135086.25,450.65
534731.51,157685.2,360.19
486330.63,150386.5,964.22
512328.19,30784.96,232.58
535631.15,144184.9,1078.35
428229.36,136487.79,700.1
601832.78,190882.41,277.2
450928.37,70786.12,552.93
551731.9,166384.48,333.34
448029.5,125787.13,429.92
460428.93,96886.43,287.62
