X,Y,Z
589631.55,160483.03,182.21
452428.08,46185.89,1444.35
425928.54,97587.01,872.52
537529.56,94284.67,432.89
483928.73,79485.58,585.58
486329.77,117886.04,926.01
537929.18,77284.66,582.55
573931.85,165883.52,289.08
483929.1,95485.84,664.1
487229.33,103385.9,469.87
578631.37,153883.37,326.72
416428.67,121787.71,1828.21
441729.86,142487.49,1877.87
438928.04,55486.19,662.27
578530.89,137183.61,408.95
439927.74,40486.1,642.83
417928.4,106487.33,681.21
422728.03,79486.64,859.44
424028.75,115487.46,1221.84
446728.28,62986.1,1066.8
577031.23,147883.46,303.05
447928.03,47385.93,1132.28
421128.35,94487.03,892.34
425428.58,102387.11,961.37
578230.8,130483.76,419.52
489130.0,123186.01,1424.6
531929.96,111684.8,670.56
588332.17,178482.9,308.16
529029.43,88484.8,352.47
489229.62,109485.84,683.26
531930.44,126885.01,454.32
529428.97,70984.8,978.17
587531.62,162683.1,186.38
583231.22,149383.3,322.65
583930.74,133783.47,331.04
548430.31,120884.44,369.06
521729.39,88384.87,348.24
540329.49,90684.61,317.26
501729.94,115185.56,992.19
547029.78,103484.42,441.73
522128.87,70684.9,519.66
500330.2,128685.7,854.17
540829.15,75884.63,769.5
601632.75,190182.41,296.36
547129.58,96884.45,645.58
551429.7,100484.39,547.67
540330.56,126684.76,539.26
501928.9,78885.23,513.55
547829.22,79784.45,621.04
600932.04,174882.47,265.87
550430.14,115484.42,485.77
537929.41,85784.65,158.29
501929.34,94485.35,463.81
542330.09,112484.6,605.31
594131.49,157182.85,175.25
387128.37,125688.37,1160.21
408127.73,76486.91,352.34
475230.2,140786.61,1466.35
594730.96,142482.92,217.42
586931.17,147183.19,326.03
408427.96,90487.08,1355.18
488829.22,97485.72,515.47
533029.07,73484.8,867.8
567632.03,167483.78,314.49
490628.9,83285.47,551.16
531129.51,91484.76,466.47
422928.55,105687.24,1040.91
575830.91,135983.72,330.39
423128.86,121487.62,1361.38
446929.94,143687.29,2083.25
576031.31,151483.42,337.09
443127.87,44286.03,488.21
416428.24,97487.19,1047.24
418528.03,83886.79,890.07
443428.14,58586.14,751.71
570931.71,161583.66,319.29
535630.55,128484.89,549.5
483929.32,104185.96,525.32
536830.03,112884.67,662.91
485529.88,121486.12,1078.32
605731.83,171482.38,230.13
393927.41,76487.22,287.38
457828.33,66985.96,847.95
459129.82,131886.84,1326.77
450127.97,43485.92,700.64
425628.69,108587.24,1043.49
456928.18,49985.88,1765.7
427628.99,123087.59,1571.62
450028.21,56586.05,1238.96
450129.91,142487.19,1396.66
505830.24,127385.56,327.94
503628.69,71685.21,587.37
496229.46,101185.62,852.69
494929.32,96785.56,704.31
505929.81,109485.42,546.27
504129.11,86485.21,364.04
497429.95,117185.68,1178.81
492928.85,80685.39,448.83
565430.71,125484.02,618.23
405628.39,108187.5,1050.65
438128.19,66686.27,607.6
434829.3,130487.49,1061.46
412827.87,79286.85,414.4
474528.28,58385.86,1216.27
470430.06,139786.73,1494.47
406028.52,124487.96,1984.54
412028.06,93787.06,1469.66
438927.99,52186.19,546.51
516629.75,103485.04,646.98
518829.51,97484.97,507.54
524129.87,106484.83,763.24
481629.85,124486.28,996.7
481828.5,73385.61,634.29
516030.05,115985.19,929.06
524130.22,121485.15,302.58
517629.2,82384.93,286.21
479429.49,112386.19,520.56
481628.84,86585.77,572.96
398028.15,100487.46,790.48
463628.28,59985.9,1020.91
397827.63,82587.16,162.45
586632.57,187483.04,401.19
508629.72,104885.28,891.2
594531.61,163282.79,178.29
556930.6,129984.28,617.28
509930.05,118485.36,832.04
585131.96,172483.05,196.48
595232.14,178182.66,344.15
513129.61,99985.11,593.75
552829.4,88484.28,210.91
